transaction_id,transaction_date,transaction_type,amount,location,customer_age,account_age_days,previous_transaction_count,is_fraud
TXN0001,2026-01-03 09:14:00,Transfer,1250.5,Bengaluru,29,820,18,0
TXN0002,2026-01-03 10:22:00,Payment,320.0,Mumbai,34,1240,42,0
TXN0003,2026-01-03 11:05:00,Withdrawal,8500.0,Delhi,27,145,3,1
TXN0004,2026-01-03 12:18:00,Payment,450.75,Chennai,41,2100,65,0
TXN0005,2026-01-03 13:42:00,Transfer,9800.0,Hyderabad,23,95,2,1
TXN0006,2026-01-03 14:11:00,Payment,125.0,Pune,38,1560,51,0
TXN0007,2026-01-03 15:30:00,Withdrawal,6200.0,Kolkata,31,310,5,1
TXN0008,2026-01-03 16:05:00,Transfer,760.25,Jaipur,45,1880,37,0
TXN0009,2026-01-03 17:27:00,Payment,210.0,Ahmedabad,36,970,29,0
TXN0010,2026-01-03 18:46:00,Transfer,15200.0,Bengaluru,25,72,1,1
TXN0011,2026-01-04 09:08:00,Payment,540.0,Mumbai,30,1100,33,0
TXN0012,2026-01-04 10:35:00,Withdrawal,7200.0,Delhi,28,180,4,1
TXN0013,2026-01-04 11:21:00,Transfer,890.4,Chennai,43,2310,71,0
TXN0014,2026-01-04 12:47:00,Payment,175.9,Pune,39,1430,48,0
TXN0015,2026-01-04 13:16:00,Transfer,11200.0,Hyderabad,26,120,2,1
TXN0016,2026-01-04 14:52:00,Payment,680.0,Kolkata,47,2750,83,0
TXN0017,2026-01-04 15:33:00,Withdrawal,5600.0,Jaipur,32,260,6,1
TXN0018,2026-01-04 16:28:00,Transfer,420.75,Ahmedabad,40,1740,39,0
TXN0019,2026-01-04 17:12:00,Payment,310.0,Bengaluru,35,1320,44,0
TXN0020,2026-01-04 18:39:00,Transfer,18750.0,Mumbai,22,61,1,1
function Start-FFDM {
    Write-Host "Starting Financial Fraud Detection Model..." -ForegroundColor Cyan
    Start-Process powershell -ArgumentList "-NoExit", "-Command", `
        "cd C:\Users\param\fraudiq\backend; .venv\Scripts\activate; python -m uvicorn app.main:app --reload --port 8000"
    Start-Sleep -Seconds 3
    Start-Process powershell -ArgumentList "-NoExit", "-Command", `
        "cd C:\Users\param\fraudiq\frontend; npm run dev"
    Start-Sleep -Seconds 6
    Start-Process "http://localhost:3000"
    Write-Host "Two windows opened. Browser will load in ~5s." -ForegroundColor Green
}
